best m,c is 1.550000,12.280000 with error 15.520425 in direction 0
best m,c is 1.550000,12.290000 with error 15.516793 in direction 0
best m,c is 1.550000,12.300000 with error 15.513166 in direction 0
best m,c is 1.550000,12.310000 with error 15.509545 in direction 0
best m,c is 1.550000,12.320000 with error 15.505929 in direction 0
best m,c is 1.550000,12.330000 with error 15.502319 in direction 0
best m,c is 1.550000,12.340000 with error 15.498715 in direction 0
best m,c is 1.550000,12.350000 with error 15.495116 in direction 0
best m,c is 1.550000,12.360000 with error 15.491523 in direction 0
best m,c is 1.550000,12.370000 with error 15.487935 in direction 0
best m,c is 1.550000,12.380000 with error 15.484353 in direction 0
best m,c is 1.550000,12.390000 with error 15.480777 in direction 0
best m,c is 1.550000,12.400000 with error 15.477206 in direction 0
best m,c is 1.550000,12.410000 with error 15.473641 in direction 0
best m,c is 1.550000,12.420000 with error 15.470082 in direction 0
best m,c is 1.550000,12.430000 with error 15.466528 in direction 0
best m,c is 1.550000,12.440000 with error 15.462980 in direction 0
best m,c is 1.550000,12.450000 with error 15.459438 in direction 0
best m,c is 1.550000,12.460000 with error 15.455901 in direction 0
best m,c is 1.550000,12.470000 with error 15.452370 in direction 0
best m,c is 1.550000,12.480000 with error 15.448845 in direction 0
best m,c is 1.550000,12.490000 with error 15.445325 in direction 0
best m,c is 1.550000,12.500000 with error 15.441811 in direction 0
best m,c is 1.550000,12.510000 with error 15.438302 in direction 0
best m,c is 1.550000,12.520000 with error 15.434800 in direction 0
best m,c is 1.550000,12.530000 with error 15.431303 in direction 0
best m,c is 1.550000,12.540000 with error 15.427811 in direction 0
best m,c is 1.550000,12.550000 with error 15.424326 in direction 0
best m,c is 1.550000,12.560000 with error 15.420846 in direction 0
best m,c is 1.550000,12.570000 with error 15.417371 in direction 0
best m,c is 1.550000,12.580000 with error 15.413903 in direction 0
best m,c is 1.550000,12.590000 with error 15.410440 in direction 0
best m,c is 1.550000,12.600000 with error 15.406983 in direction 0
best m,c is 1.550000,12.610000 with error 15.403531 in direction 0
best m,c is 1.550000,12.620000 with error 15.400086 in direction 0
best m,c is 1.550000,12.630000 with error 15.396646 in direction 0
best m,c is 1.550000,12.640000 with error 15.393211 in direction 0
best m,c is 1.550000,12.650000 with error 15.389783 in direction 0
best m,c is 1.550000,12.660000 with error 15.386360 in direction 0
best m,c is 1.550000,12.670000 with error 15.382943 in direction 0
best m,c is 1.550000,12.680000 with error 15.379532 in direction 0
best m,c is 1.540000,12.690000 with error 15.375975 in direction 7
best m,c is 1.540000,12.700000 with error 15.372243 in direction 0
best m,c is 1.540000,12.710000 with error 15.368516 in direction 0
best m,c is 1.540000,12.720000 with error 15.364796 in direction 0
best m,c is 1.540000,12.730000 with error 15.361081 in direction 0
best m,c is 1.540000,12.740000 with error 15.357371 in direction 0
best m,c is 1.540000,12.750000 with error 15.353667 in direction 0
best m,c is 1.540000,12.760000 with error 15.349969 in direction 0
best m,c is 1.540000,12.770000 with error 15.346277 in direction 0
best m,c is 1.540000,12.780000 with error 15.342590 in direction 0
best m,c is 1.540000,12.790000 with error 15.338908 in direction 0
best m,c is 1.540000,12.800000 with error 15.335233 in direction 0
best m,c is 1.540000,12.810000 with error 15.331562 in direction 0
best m,c is 1.540000,12.820000 with error 15.327898 in direction 0
best m,c is 1.540000,12.830000 with error 15.324239 in direction 0
best m,c is 1.540000,12.840000 with error 15.320586 in direction 0
best m,c is 1.540000,12.850000 with error 15.316939 in direction 0
best m,c is 1.540000,12.860000 with error 15.313297 in direction 0
best m,c is 1.540000,12.870000 with error 15.309661 in direction 0
best m,c is 1.540000,12.880000 with error 15.306030 in direction 0
best m,c is 1.540000,12.890000 with error 15.302406 in direction 0
best m,c is 1.540000,12.900000 with error 15.298787 in direction 0
best m,c is 1.540000,12.910000 with error 15.295173 in direction 0
best m,c is 1.540000,12.920000 with error 15.291565 in direction 0
best m,c is 1.540000,12.930000 with error 15.287963 in direction 0
best m,c is 1.540000,12.940000 with error 15.284367 in direction 0
best m,c is 1.540000,12.950000 with error 15.280776 in direction 0
best m,c is 1.540000,12.960000 with error 15.277191 in direction 0
best m,c is 1.540000,12.970000 with error 15.273612 in direction 0
best m,c is 1.540000,12.980000 with error 15.270039 in direction 0
best m,c is 1.540000,12.990000 with error 15.266471 in direction 0
best m,c is 1.540000,13.000000 with error 15.262909 in direction 0
best m,c is 1.540000,13.010000 with error 15.259352 in direction 0
best m,c is 1.540000,13.020000 with error 15.255802 in direction 0
best m,c is 1.540000,13.030000 with error 15.252257 in direction 0
best m,c is 1.540000,13.040000 with error 15.248718 in direction 0
best m,c is 1.540000,13.050000 with error 15.245184 in direction 0
best m,c is 1.540000,13.060000 with error 15.241656 in direction 0
best m,c is 1.540000,13.070000 with error 15.238134 in direction 0
best m,c is 1.540000,13.080000 with error 15.234618 in direction 0
best m,c is 1.540000,13.090000 with error 15.231108 in direction 0
best m,c is 1.540000,13.100000 with error 15.227603 in direction 0
best m,c is 1.540000,13.110000 with error 15.224104 in direction 0
best m,c is 1.540000,13.120000 with error 15.220611 in direction 0
best m,c is 1.540000,13.130000 with error 15.217123 in direction 0
best m,c is 1.540000,13.140000 with error 15.213642 in direction 0
best m,c is 1.540000,13.150000 with error 15.210166 in direction 0
best m,c is 1.540000,13.160000 with error 15.206696 in direction 0
best m,c is 1.540000,13.170000 with error 15.203232 in direction 0
best m,c is 1.540000,13.180000 with error 15.199773 in direction 0
best m,c is 1.540000,13.190000 with error 15.196320 in direction 0
best m,c is 1.540000,13.200000 with error 15.192874 in direction 0
best m,c is 1.540000,13.210000 with error 15.189432 in direction 0
best m,c is 1.540000,13.220000 with error 15.185997 in direction 0
best m,c is 1.540000,13.230000 with error 15.182568 in direction 0
best m,c is 1.540000,13.240000 with error 15.179144 in direction 0
best m,c is 1.540000,13.250000 with error 15.175726 in direction 0
best m,c is 1.540000,13.260000 with error 15.172314 in direction 0
best m,c is 1.540000,13.270000 with error 15.168908 in direction 0
best m,c is 1.540000,13.280000 with error 15.165507 in direction 0
best m,c is 1.540000,13.290000 with error 15.162113 in direction 0
best m,c is 1.540000,13.300000 with error 15.158724 in direction 0
best m,c is 1.540000,13.310000 with error 15.155341 in direction 0
best m,c is 1.540000,13.320000 with error 15.151964 in direction 0
best m,c is 1.540000,13.330000 with error 15.148593 in direction 0
best m,c is 1.540000,13.340000 with error 15.145228 in direction 0
best m,c is 1.540000,13.350000 with error 15.141868 in direction 0
best m,c is 1.530000,13.360000 with error 15.138364 in direction 7
best m,c is 1.530000,13.370000 with error 15.134679 in direction 0
best m,c is 1.530000,13.380000 with error 15.130999 in direction 0
best m,c is 1.530000,13.390000 with error 15.127326 in direction 0
best m,c is 1.530000,13.400000 with error 15.123658 in direction 0
best m,c is 1.530000,13.410000 with error 15.119995 in direction 0
best m,c is 1.530000,13.420000 with error 15.116339 in direction 0
best m,c is 1.530000,13.430000 with error 15.112688 in direction 0
best m,c is 1.530000,13.440000 with error 15.109043 in direction 0
